N PROM_2019-2 PROM_2020-1 PROM_2020-2 PROM_2021-1 PROM_ACUMULADO SALARIO BENEFICIARIO EJECUCIÓN
1 4.20 4.50 4.70 4.50 4.50 2290026.00 "SI" 1.00
2 4.30 4.40 4.60 4.70 4.50 4621937.00 "SI" 1.00
3 4.30 4.60 4.60 4.30 4.50 3441033.00 "SI" 1.00
4 4.40 4.40 4.60 4.70 4.50 2290026.00 "SI" 1.00
5 4.50 4.70 4.60 4.60 4.60 4802791.00 "SI" 1.00
6 4.40 4.40 4.40 4.70 4.50 2290026.00 "SI" 1.00
7 4.30 4.60 4.60 4.20 4.50 4019076.00 "SI" 1.00
8 4.40 4.60 4.70 4.70 4.60 3853957.00 "SI" 1.00
9 4.30 4.10 4.60 4.50 4.40 3657230.00 "SI" 1.00
10 4.40 4.50 4.70 4.80 4.60 2992203.00 "NO" 0.90
11 4.40 4.20 4.50 4.60 4.40 3957188.00 "SI" 1.00
12 4.10 4.50 4.60 4.50 4.40 3371333.00 "SI" 1.00
13 4.40 4.50 4.60 4.50 4.50 3180200.00 "NO" 0.80
14 4.10 4.30 4.40 4.20 4.20 2401770.00 "NO" 0.80
15 4.10 4.10 4.50 4.40 4.30 3180200.00 "SI" 1.00
16 4.00 4.60 4.60 4.20 4.40 2992203.00 "SI" 1.00
17 4.30 4.70 4.60 4.50 4.50 2633530.00 "SI" 1.00
18 4.50 4.70 4.80 4.60 4.70 5763349.00 "SI" 1.00
19 4.00 4.60 4.60 4.50 4.40 2290026.00 "SI" 1.00
20 4.40 4.40 4.60 4.40 4.50 2992203.00 "NO" 0.90
21 4.40 4.50 4.50 4.70 4.50 2541131.00 "SI" 1.00
22 4.30 4.40 4.60 4.70 4.50 2290026.00 "SI" 1.00
23 4.40 4.60 4.80 4.50 4.60 2633528.00 "SI" 1.00
24 4.40 4.60 4.70 4.50 4.60 3028557.00 "SI" 1.00
25 4.30 4.50 4.60 4.70 4.50 2633528.00 "SI" 1.00
